State/UTs,Total Cases,Active,Discharged,Deaths,Active Ratio,Discharge Ratio,Death Ratio,Population_x,Total Vaccination Doses,Dose1,Dose 2,Dose 1 15-18,Dose 2 15-18,Dose 1 12-14,Dose 2 12-14,Precaution 18-59,Population_y
Andhra Pradesh,2340676,0,2325943,14733,0.0,99.37,0.63,128500364,110957430,40645695,43555744,2535344,2527613,1523375,1495445,12054868,91702478
Arunachal Pradesh,67049,0,66753,296,0.0,99.56,0.44,658019,1924584,861396,748505,59100,44869,40852,28445,81191,1711947
Assam,746159,5,738119,8035,0.0,98.92,1.08,290492,50335778,22550941,20575569,1262520,972402,999552,602283,2108179,35998752
Bihar,855267,1,842952,12314,0.0,98.56,1.44,40100376,157293015,62956601,59160917,6240650,5348480,4288630,3403195,12022637,128500364
Chandigarh,100693,0,99508,1185,0.0,98.82,1.18,30501026,2291937,1090035,921251,57708,43907,38210,26050,51034,1158040
Chhattisgarh,1187695,0,1173505,14190,0.0,98.81,1.19,28900667,49167939,18956734,18537851,1234990,1053338,1076071,752571,5750424,32199722
Delhi,2040910,14,2014230,26666,0.0,98.69,1.31,773997,37409355,16605099,14356077,1008977,870793,683771,490644,2337340,19301096
Goa,263346,3,259329,4014,0.0,98.47,1.52,3772103,2874477,1355046,1224544,51734,44551,33265,26640,61965,1521992
Gujarat,1291383,5,1280299,11079,0.0,99.14,0.86,70400153,128105565,49324964,49448078,3131906,2906693,1941624,1677874,13702810,70400153
Haryana,1078903,27,1068121,10755,0.0,99.0,1.0,7503010,45546800,21963352,18749584,1158529,771892,559947,327809,1306744,28900667
Himachal Pradesh,322905,4,318660,4241,0.0,98.69,1.31,3436948,15325484,6042660,5783693,331826,309613,272064,235002,1520001,7503010
Jharkhand,443826,1,438491,5334,0.0,98.8,1.2,124904071,43875944,21310378,16112704,1596112,1125458,1062630,622673,1371673,40100376
Karnataka,4088769,12,4048399,40358,0.0,99.01,0.99,1711947,122152396,50032922,50520795,2816444,2719866,2325476,2151242,6718023,69599762
Kerala,6907241,18,6835181,72042,0.0,98.96,1.04,91702478,57511593,27017714,23803189,1322849,957271,810955,511981,869095,34698876
Ladakh,29602,0,29371,231,0.0,99.22,0.78,4184959,567133,219604,187095,10072,9261,8627,7758,70299,290492
Lakshadweep,11415,0,11363,52,0.0,99.54,0.46,11700099,145313,56914,56019,2911,2782,1988,1724,15990,66001
Madhya Pradesh,1056351,0,1045565,10786,0.0,98.98,1.02,14999397,133940196,54143863,54061656,4194628,3472824,2410962,1698670,10127768,85002417
Maharashtra,8171048,214,8022276,148558,0.0,98.18,1.82,399001,177977996,84665105,71650189,4119145,3108854,2891273,1870754,5188711,124904071
Manipur,140034,0,137885,2149,0.0,98.47,1.53,47099270,3269105,1464399,1226336,109652,68555,75418,44329,115059,3436948
Meghalaya,96983,3,95352,1628,0.0,98.32,1.68,79502477,2626010,1332466,1025463,77151,42858,37399,19556,33391,3772103
Mizoram,239560,1,238825,734,0.0,99.69,0.31,1308967,1793298,785860,669572,60098,47010,48360,33595,80888,1308967
Nagaland,36033,0,35251,782,0.0,97.83,2.17,38157311,1739837,837969,684747,59974,40347,26012,19889,26877,2073074
Odisha,1348409,59,1339135,9215,0.0,99.31,0.68,19301096,81545960,31454279,29961065,2195563,1844432,1601002,1206692,10069825,47099270
Puducherry,177547,0,175566,1981,0.0,98.88,1.12,2073074,2274059,913046,802234,50694,44614,30873,21251,304200,1646050
Punjab,793644,1233,773073,19338,0.16,97.41,2.44,34698876,47051166,22361633,19621018,1117510,878056,684148,497396,840406,30501026
Rajasthan,1326465,2,1316727,9736,0.0,99.27,0.73,1521992,115721511,51115413,46586810,3576045,2955043,2343976,1496833,4631834,79502477
Sikkim,44927,4,44422,501,0.01,98.88,1.12,83697770,1360477,539929,509134,30049,26515,21899,19007,158301,658019
Tamil Nadu,3610655,5,3572569,38081,0.0,98.95,1.05,35998752,127533904,56671366,53532301,2627751,2224043,1917151,1465291,6066180,83697770
Tripura,108493,1,107550,942,0.0,99.13,0.87,1646050,5918997,2659018,2328968,144833,115278,112965,79612,273061,4184959
Uttar Pradesh,2145431,57,2121662,23712,0.0,98.89,1.11,1158040,392011174,154096960,147866674,14193665,13227415,8709857,7876085,36643273,231502578
Uttarakhand,452571,0,444803,7768,0.0,98.28,1.72,85002417,20143654,8183361,7949246,532982,467836,402314,315985,1417182,11700099
West Bengal,2126282,135,2104592,21555,0.01,98.98,1.01,32199722,156100370,67305396,61606895,3599987,3041540,2622505,2059418,10358494,100896618
